Registro_ID,Año,Trimestre,Llamadas pospago salientes,Llamadas prepago salientes,Total de llamadas salientes,TiempoTrim_ID,Periodo,porc_pospago_llam,porc_prepago_llam,Total_llamadas_QoQ_%
49,2013,1,3796547,3412766,7209313,20131,2013Q1,52.661702994446216,47.338297005553784,
48,2013,2,4156872,3699387,7856258,20132,2013Q2,52.911602444828056,47.088410283878154,8.973739938881842
47,2013,3,4466727,3814925,8281653,20133,2013Q3,53.93521076046051,46.06477716465541,5.414727978638179
46,2013,4,4743791,3906876,8650667,20134,2013Q4,54.83728595725624,45.16271404274376,4.455801275421711
45,2014,1,4001399,3589181,7590580,20141,2014Q1,52.71532610156273,47.284673898437276,-12.254396106103727
44,2014,2,4373148,3942142,8315290,20142,2014Q2,52.591647435026324,47.40835256497368,9.547491759522986
43,2014,3,4676132,4356668,9032801,20143,2014Q3,51.76834959609982,48.23163933313708,8.628815110477195
42,2014,4,4957353,4649196,9606550,20144,2014Q4,51.60388484939963,48.39610474103606,6.351839257833758
41,2015,1,4180427,3992229,8172656,20151,2015Q1,51.15138823902535,48.84861176097465,-14.926211803404964
40,2015,2,4612087,4081505,8693592,20152,2015Q2,53.05156947784069,46.94843052215931,6.374133451842345
39,2015,3,4834496,4544938,9379434,20153,2015Q3,51.54357928207608,48.45642071792391,7.8890520742174175
38,2015,4,5015851,4799840,9815691,20154,2015Q4,51.10033516743753,48.89966483256248,4.6512081645864845
37,2016,1,4602640,4291789,8894429,20161,2016Q1,51.74744775634276,48.252552243657234,-9.385605149958366
36,2016,2,4633918,4362030,8995948,20162,2016Q2,51.51116925086717,48.48883074913283,1.1413773722855014
35,2016,3,5125311,3985485,9110796,20163,2016Q3,56.25535902680732,43.74464097319268,1.2766636712439938
34,2016,4,5977412,3289295,9266707,20164,2016Q4,64.50416528762591,35.49583471237409,1.711277477840567
33,2017,1,5337927,2883162,8221089,20171,2017Q1,64.92968267342684,35.07031732657316,-11.283598369949544
32,2017,2,5431369,2753032,8184400,20172,2017Q2,66.36245784663505,33.63755437173159,-0.4462790756796342
31,2017,3,5401689,2812805,8214493,20173,2017Q3,65.75803278425096,34.24197938935489,0.36768730756071566
30,2017,4,5506428,2895913,8402341,20174,2017Q4,65.53445045850911,34.46554954149087,2.286787510805599
29,2018,1,4629943,2639039,7268982,20181,2018Q1,63.6945173340641,36.30548266593589,-13.488609900502723
28,2018,2,4997593,2617568,7615161,20182,2018Q2,65.62688562986389,34.3731143701361,4.762413774033281
27,2018,3,5114169,2585551,7699720,20183,2018Q3,66.42019450057924,33.57980549942076,1.1104033125497903
26,2018,4,5415217,2825480,8240697,20184,2018Q4,65.71309441422248,34.28690558577752,7.025930813068526
25,2019,1,4990885,2569628,7560513,20191,2019Q1,66.01251793363757,33.98748206636243,-8.253962013164662
24,2019,2,5081581,2632188,7713769,20192,2019Q2,65.8767588191972,34.12324118080279,2.0270582168167683
23,2019,3,4735772,2519093,7254864,20193,2019Q3,65.27719885582968,34.72281492802622,-5.949167002537925
22,2019,4,4935402,2665719,7601121,20194,2019Q4,64.92992283638164,35.07007716361837,4.772756594748029
21,2020,1,4356731,2226861,6583591,20201,2020Q1,66.17560234224756,33.824412847031354,-13.386578111307534
20,2020,2,3944061,2091330,6035390,20202,2020Q2,65.34890040245949,34.651116166478054,-8.326777893705728
19,2020,3,4216177,2040647,6256823,20203,2020Q3,67.38526884970216,32.614747132850006,3.668909548513022
18,2020,4,4653523,1353625,6007148,20204,2020Q4,77.46642832838478,22.533571671615217,-3.9904437124080427
17,2021,1,4312129,1273254,5585383,20211,2021Q1,77.20381932626643,22.796180673733566,-7.021052253082494
16,2021,2,4343282,1084244,5427526,20212,2021Q2,80.02323710655646,19.97676289344353,-2.826252022466502
15,2021,3,4365100,1195389,5560488,20213,2021Q3,78.50210269314492,21.497915290888137,2.4497717744696113
14,2021,4,4580319,1355533,5935852,20214,2021Q4,77.16363211212139,22.836367887878605,6.750558584066724
13,2022,1,4073512,1265694,5339206,20221,2022Q1,76.29434039443318,23.70565960556682,-10.051564627959053
12,2022,2,4109736,1364889,5474625,20222,2022Q2,75.06881293239263,24.93118706760737,2.536313451850325
11,2022,3,4123397,1320345,5443742,20223,2022Q3,75.7456359981792,24.254364001820804,-0.5641116971482063
10,2022,4,3785218,1112907,4898125,20224,2022Q4,77.27891795329846,22.721082046701543,-10.022829884296502
9,2023,1,3251857,1023503,4275360,20231,2023Q1,76.06042532090865,23.93957467909135,-12.714354982774022
8,2023,2,3272337,1052369,4324706,20232,2023Q2,75.66611464455619,24.333885355443815,1.1541952022753543
7,2023,3,3098773,1095866,4194639,20233,2023Q3,73.874605180565,26.125394819434998,-3.0075339225371645
6,2023,4,3413226,1165616,4578842,20234,2023Q4,74.5434325971501,25.45656740284989,9.159381772781883
5,2024,1,2893508,1068710,3962217,20241,2024Q1,73.02749950343457,26.972525734961007,-13.466832880453182
4,2024,2,2709620,1067028,3776648,20242,2024Q2,71.7466917753521,28.25330822464789,-4.683463828457657
3,2024,3,2700397,1072911,3773308,20243,2024Q3,71.5657719963491,28.434228003650908,-0.08843821293379461
2,2024,4,2753762,1095453,3849216,20244,2024Q4,71.54085403365256,28.459119987031123,2.0117096192518558
1,2025,1,2509903,962525,3472428,20251,2025Q1,72.28092274339454,27.719077256605463,-9.78869463288109
