Registro_ID,Año,Trimestre,TV por Suscripción (VFR),TV Satelital,TiempoTrim_ID
1,2025,1,7587263,1068697,20251
2,2024,4,7628773,1068833,20244
3,2024,3,7551552,1170791,20243
4,2024,2,7454428,1367489,20242
5,2024,1,7601499,1445205,20241
6,2023,4,7650809,1508789,20234
7,2023,3,7743735,1683205,20233
8,2023,2,8076400,1735655,20232
9,2023,1,7770412,1766221,20231
10,2022,4,7680025,1837878,20224
11,2022,3,7665931,2064699,20223
12,2022,2,7647584,2064637,20222
13,2022,1,7564827,2049628,20221
14,2021,4,7596758,2010217,20214
15,2021,3,7676892,2147571,20213
16,2021,2,7333071,2326029,20212
17,2021,1,7346948,2261855,20211
18,2020,4,7332508,2320365,20204
19,2020,3,7329433,2451671,20203
20,2020,2,7224135,2453731,20202
21,2020,1,7221911,2456768,20201
22,2019,4,7296185,2459872,20194
23,2019,3,7156690,2460927,20193
24,2019,2,7048709,2460177,20192
25,2019,1,6971691,2473124,20191
26,2018,4,6911972,2474558,20184
27,2018,3,7043550,2536706,20183
28,2018,2,6930762,2502826,20182
29,2018,1,6932176,2466902,20181
30,2017,4,6826025,2562320,20174
31,2017,3,6767020,2592551,20173
32,2017,2,6766484,2576258,20172
33,2017,1,6603332,2531404,20171
34,2016,4,6553801,2662031,20164
35,2016,3,6538382,2628542,20163
36,2016,2,6534381,2642286,20162
37,2016,1,6505712,2539255,20161
38,2015,4,6506102,2537610,20154
39,2015,3,6489305,2585384,20153
40,2015,2,6460053,2582737,20152
41,2015,1,6409504,2495326,20151
42,2014,4,6478044,2466184,20144
43,2014,3,6449845,2450098,20143
44,2014,2,6438522,2546820,20142
